Sector	Organization Name (CN)	Industry	Rank	Total Amout	Donation Amount (mil ￥)	Donation Month	Donation Date	Sumif(origin=dest)	Donation Origin (Province)	Donation Origin (City)	Donation Destination (Province)	Donation Destination (City)	Name of Recipient	Name of Recipient (CN)	Donation for what program?	Type of Recipient	Donation Cause	Donation Vehicle	Form of Donation	Pledge? (Y/N)	Donation Link	Donation Link 2	Donation Link 3	Other Donation Link(s)
Private	河仁慈善基金会	Manufacturing	9	219.5	3	9	21	0	Beijing	Beijing	Fujian	Quanzhou		福建省人民政府	用于灾后救助和重建，帮助灾区尽快恢复生产生活，重建家园。	Government	Disaster Relief	Individual Foundation	Cash	N	http://www.hcf.org.cn/web/info/493.html	http://www.fujian.gov.cn/xw/ztzl/fxkh/gzdt/201609/t20160922_1216368.htm		
Private	河仁慈善基金会	Manufacturing	9	219.5	2			0	Beijing	Beijing	Fujian	Fuzhou		福建省残疾人福利基金会		Government Charitable Organization	Social Welfare & Poverty Alleviation	Individual Foundation	Cash	N	http://fjfdp.org/news/2017331/n3482163.html	http://china.huanqiu.com/hot/2016-09/9472096.html		
Private	河仁慈善基金会	Manufacturing	9	219.5	1.5	11	8	0	Beijing	Beijing	Shaanxi	Xianyang		西北农林科技大学	曹德旺励志奖学金	University or University Foundation	Education	Individual Foundation	Cash	N	http://news.nwsuaf.edu.cn/xnxw/70386.htm			
Private	河仁慈善基金会	Manufacturing	9	219.5	1	9	21	0	Beijing	Beijing	Fujian	Fuzhou		福建省人民政府	用于灾后救助和重建，帮助灾区尽快恢复生产生活，重建家园。	Government	Disaster Relief	Individual Foundation	Cash	N	http://www.hcf.org.cn/web/info/493.html	http://www.fujian.gov.cn/xw/ztzl/fxkh/gzdt/201609/t20160922_1216368.htm		
Private	河仁慈善基金会	Manufacturing	9	219.5	1	9	21	0	Beijing	Beijing	Fujian	Pingtan		福建省人民政府	用于灾后救助和重建，帮助灾区尽快恢复生产生活，重建家园。	Government	Disaster Relief	Individual Foundation	Cash	N	http://www.hcf.org.cn/web/info/493.html	http://www.fujian.gov.cn/xw/ztzl/fxkh/gzdt/201609/t20160922_1216368.htm		
Private	河仁慈善基金会	Manufacturing	9	219.5	1	9	21	0	Beijing	Beijing	Fujian	Putian		福建省人民政府	用于灾后救助和重建，帮助灾区尽快恢复生产生活，重建家园。	Government	Disaster Relief	Individual Foundation	Cash	N	http://www.hcf.org.cn/web/info/493.html	http://www.fujian.gov.cn/xw/ztzl/fxkh/gzdt/201609/t20160922_1216368.htm		
Private	河仁慈善基金会	Manufacturing	9	219.5	1	9	21	0	Beijing	Beijing	Fujian	Longyan		福建省人民政府	用于灾后救助和重建，帮助灾区尽快恢复生产生活，重建家园。	Government	Disaster Relief	Individual Foundation	Cash	N	http://www.hcf.org.cn/web/info/493.html	http://www.fujian.gov.cn/xw/ztzl/fxkh/gzdt/201609/t20160922_1216368.htm		
Private	河仁慈善基金会	Manufacturing	9	219.5	1	9	21	0	Beijing	Beijing	Fujian	Sanming		福建省人民政府	用于灾后救助和重建，帮助灾区尽快恢复生产生活，重建家园。	Government	Disaster Relief	Individual Foundation	Cash	N	http://www.hcf.org.cn/web/info/493.html	http://www.fujian.gov.cn/xw/ztzl/fxkh/gzdt/201609/t20160922_1216368.htm		
Private	河仁慈善基金会	Manufacturing	9	219.5	1	9	21	0	Beijing	Beijing	Fujian	Ningde		福建省人民政府	用于灾后救助和重建，帮助灾区尽快恢复生产生活，重建家园。	Government	Disaster Relief	Individual Foundation	Cash	N	http://www.hcf.org.cn/web/info/493.html	http://www.fujian.gov.cn/xw/ztzl/fxkh/gzdt/201609/t20160922_1216368.htm		
Private	河仁慈善基金会	Manufacturing	9	219.5	1	9	21	0	Beijing	Beijing	Fujian	unspecified		福建省人民政府	用于灾后救助和重建，帮助灾区尽快恢复生产生活，重建家园。	Government	Disaster Relief	Individual Foundation	Cash	N	http://www.hcf.org.cn/web/info/493.html	http://www.fujian.gov.cn/xw/ztzl/fxkh/gzdt/201609/t20160922_1216368.htm		
